read_name	read_strand	read_start	read_seg_length	chr	chr_strand	chr_start	chr_seg_length	sample_id
merge13-16	1	48465	90	chr9	1	110701834	90	07-20432
merge56-3	1	49467	63	chr1	1	10054	63	07-20432
merge51-5	-1	37309	302	chr17	1	38264511	303	07-20432
merge57-11	1	28377	307	chr6	1	73554172	307	07-20432
merge69-9	-1	36838	302	chr2	1	107309961	302	07-20432
merge60-10	1	48226	322	chr1	1	238537890	322	07-20432
merge72-10	-1	43072	313	chr1	1	189025839	313	07-20432
merge30-12	1	64333	268	chr1	1	173975662	268	07-20432
merge70-10	1	48733	296	chr4	1	131265101	296	07-20432
merge84-7	1	22153	64	chr7	1	60908887	64	07-20432
merge87-3	1	2103	64	chr1	1	62689170	64	07-20432
merge61-10	1	36790	297	chr2	1	192217960	298	07-20432
merge85-4	1	8530	316	chr3	1	85897254	316	07-20432
merge92-9	1	23980	305	chr4	1	11540986	305	07-20432
merge78-9	-1	12305	345	chr11	1	96399522	345	07-20432
merge90-9	-1	27114	94	chr15	1	92631221	86	07-20432
merge82-9	-1	44262	63	chr16	1	12335798	63	07-20432
merge101-3	1	14781	57	chr1	1	31334337	57	07-20432
merge54-11	-1	54202	85	chr4	1	2821928	85	07-20432
merge88-9	1	37442	75	chr3	1	109426828	75	07-20432
merge95-9	-1	19325	333	chr7	1	50225724	333	07-20432
merge104-8	-1	24525	142	chr18	1	80041883	142	07-20432
merge58-11	-1	51693	83	chr4	1	98850858	78	07-20432
merge100-8	1	37661	54	chr1	1	235380155	54	07-20432
merge109-8	-1	29442	87	chr2	1	59853501	87	07-20432
merge86-3	-1	21554	304	chr18	1	837113	304	07-20432
merge68-10	1	36810	310	chr2	1	107309940	310	07-20432
merge107-8	1	8305	320	chr8	1	21243355	320	07-20432
merge111-8	1	35975	99	chr6	1	103740429	99	07-20432
merge112-8	-1	16467	301	chr15	1	29600902	294	07-20432
merge80-9	-1	33890	106	chr6	1	132601040	106	07-20432
merge80-9	-1	33652	238	chr6	1	132600926	226	07-20432
merge80-9	-1	33397	251	chr6	1	132600891	255	07-20432
merge80-9	-1	33236	161	chr6	1	132600926	161	07-20432
merge80-9	-1	32981	251	chr6	1	132600891	255	07-20432
merge80-9	-1	32849	132	chr6	1	132600959	128	07-20432
merge80-9	-1	32606	243	chr6	1	132600876	263	07-20432
merge80-9	-1	32444	162	chr6	1	132600889	159	07-20432
merge125-4	-1	8883	234	chr13	1	63082145	234	07-20432
merge98-5	1	38717	66	chr10	1	49713211	66	07-20432
merge126-3	-1	4667	244	chr17	1	18689848	244	07-20432
merge118-5	1	35484	304	chr6	1	9075062	303	07-20432
merge118-5	-1	10799	353	chr12	1	70286839	355	07-20432
merge124-3	-1	27041	190	chr20	1	55888173	190	07-20432
merge114-8	1	77615	114	chr5	1	33329766	107	07-20432
merge131-8	1	23505	123	chr3	1	961269	123	07-20432
merge120-4	-1	26979	198	chr5	1	125028266	198	07-20432
merge122-4	-1	16351	310	chr9	1	6752052	309	07-20432
merge121-4	1	15544	325	chr4	1	52609898	325	07-20432
merge110-8	1	37061	58	chr14	1	93300704	58	07-20432
merge127-3	1	6073	324	chr17	1	18689763	324	07-20432
merge136-4	-1	29828	316	chr4	1	105448936	316	07-20432
merge135-8	1	27048	309	chr9	1	38095863	309	07-20432
merge123-3	1	11756	327	chr4	1	52609899	324	07-20432
merge145-3	-1	10828	319	chr4	1	63576837	319	07-20432
merge151-7	-1	17359	314	chr7	1	84080556	314	07-20432
merge144-7	1	31931	313	chr1	1	65613469	313	07-20432
merge146-7	1	40541	76	chr10	1	12751051	76	07-20432
merge146-7	-1	22650	59	chr11	1	23388180	59	07-20432
merge146-7	-1	0	462	chr21	1	20468097	452	07-20432
merge130-8	1	18921	304	chr10	1	76251249	304	07-20432
merge156-7	1	43168	304	chr12	1	47873356	304	07-20432
merge157-3	-1	29163	303	chr12	1	47873357	303	07-20432
merge133-8	1	25192	315	chr9	1	9413098	315	07-20432
merge160-7	-1	26724	145	chr6	1	42262458	142	07-20432
merge150-7	-1	19504	55	chr1	1	78142678	55	07-20432
merge163-3	1	16773	57	chr19	1	3925963	57	07-20432
merge154-7	-1	58879	349	chr12	1	22041412	342	07-20432
merge154-7	1	24578	307	chr1	1	40494261	307	07-20432
merge165-7	1	27486	61	chr8	1	75810557	61	07-20432
merge153-5	1	23853	322	chr13	1	30601463	322	07-20432
merge159-7	1	24434	80	chr16	1	10320951	80	07-20432
merge172-4	1	9507	320	chr1	1	228679074	320	07-20432
merge174-3	-1	9855	318	chr9	1	60773509	318	07-20432
merge158-7	-1	18693	319	chr12	1	122525801	320	07-20432
merge177-4	-1	30162	314	chr4	1	166186963	314	07-20432
merge152-3	1	38072	319	chr7	1	33859241	319	07-20432
merge167-7	-1	49331	417	chr17	1	32897978	417	07-20432
merge167-7	-1	48942	366	chr17	1	32897538	399	07-20432
merge167-7	1	25315	254	chr17	1	32869205	256	07-20432
merge162-4	-1	15891	51	chr20	1	16905381	51	07-20432
merge173-3	1	28681	326	chr1	1	228679068	326	07-20432
merge169-7	1	70842	213	chr19	1	43253154	213	07-20432
merge139-7	-1	26488	327	chr6	1	28222427	327	07-20432
merge180-3	-1	24364	302	chr10	1	29372497	301	07-20432
merge182-7	-1	52191	89	chr11	1	24926235	89	07-20432
merge166-7	-1	90840	128	chr2	1	162752903	128	07-20432
merge183-7	-1	19565	45	chrX	1	21917269	45	07-20432
merge161-7	-1	38241	50	chr15	1	35260115	50	07-20432
merge194-3	-1	35588	311	chr2	1	65676567	311	07-20432
merge181-7	1	36484	184	chr3	1	10539186	184	07-20432
merge192-6	1	18359	139	chr6	1	153850913	139	07-20432
merge185-7	-1	25189	324	chr8	1	5048800	324	07-20432
merge193-6	1	15316	314	chr19	1	3994562	314	07-20432
merge202-6	-1	11910	56	chr1	1	63768711	55	07-20432
merge199-6	1	29794	65	chr6	1	83085783	65	07-20432
merge197-6	-1	28290	31	chr12	1	85022209	31	07-20432
merge208-6	-1	21481	310	chr16	1	61322532	310	07-20432
merge209-5	-1	31544	305	chr16	1	61322532	305	07-20432
merge186-4	1	17871	330	chr4	1	36841137	330	07-20432
merge205-6	-1	26319	276	chr8	1	113691884	279	07-20432
merge205-6	-1	26251	68	chr14	1	70910129	70	07-20432
merge205-6	-1	5133	103	chr7	1	23231839	103	07-20432
merge188-3	-1	24751	76	chr10	1	20456808	76	07-20432
merge200-4	1	26434	53	chr1	1	155791869	53	07-20432
merge176-7	1	29137	308	chr4	1	166186971	308	07-20432
merge215-6	1	19843	317	chr20	1	47390325	317	07-20432
merge211-6	-1	17158	93	chr13	1	95196641	93	07-20432
merge201-6	-1	31140	236	chr6	1	56893562	238	07-20432
merge216-5	1	15309	51	chr4	1	152889802	51	07-20432
merge214-6	-1	36908	32	chr9	1	38792348	32	07-20432
merge190-5	-1	46331	96	chr4	1	91998999	94	07-20432
merge190-5	1	13325	117	chr17	1	61045993	117	07-20432
merge224-6	-1	17201	66	chr6	1	41357634	66	07-20432
merge223-6	1	31233	44	chr1	1	13098707	44	07-20432
merge217-4	-1	32535	317	chr20	1	47390325	317	07-20432
merge213-4	1	15504	305	chr8	1	87450693	305	07-20432
merge221-3	1	16459	46	chr7	1	55677476	46	07-20432
merge218-6	1	62630	83	chr16	1	24317647	83	07-20432
merge219-6	1	21804	79	chr2	1	135493098	79	07-20432
merge228-6	1	5167	290	chr16	1	25612242	290	07-20432
merge238-6	1	17764	128	chr6	1	8827913	128	07-20432
merge239-6	1	7292	217	chr7	1	3451301	217	07-20432
merge240-5	-1	28227	37	chr14	1	77764856	37	07-20432
merge247-5	-1	16991	56	chr21	1	36497251	56	07-20432
merge245-5	1	40085	167	chr21	1	19345742	159	07-20432
merge241-5	1	4773	57	chr9	1	133933528	58	07-20432
merge241-5	-1	36715	88	chr2	1	241989682	88	07-20432
merge241-5	-1	36490	224	chr17	1	4462188	232	07-20432
merge241-5	-1	34234	107	chr2	1	241987394	107	07-20432
merge241-5	-1	34108	125	chr2	1	241987360	126	07-20432
merge241-5	-1	34016	90	chr2	1	241987361	90	07-20432
merge241-5	-1	33909	104	chr2	1	241987347	104	07-20432
merge241-5	-1	33848	60	chr2	1	241987347	61	07-20432
merge241-5	-1	33788	59	chr2	1	241987349	59	07-20432
merge244-5	-1	29906	301	chr1	1	42787318	301	07-20432
merge251-4	1	20195	305	chr14	1	78361919	305	07-20432
merge252-5	1	19859	307	chr4	1	185443946	307	07-20432
merge250-5	-1	22261	302	chr22	1	22828386	302	07-20432
merge164-7	-1	20870	66	chr7	1	133857254	66	07-20432
merge256-5	1	25329	312	chr3	1	74716274	312	07-20432
merge266-3	-1	5307	297	chr7	1	149121097	297	07-20432
merge254-5	-1	25634	125	chr5	1	55106128	127	07-20432
merge242-5	-1	25571	309	chr12	1	53392347	309	07-20432
merge248-5	1	42190	317	chr1	1	85940122	317	07-20432
merge270-5	-1	11604	67	chr5	1	62014155	64	07-20432
merge270-5	1	15097	38	chr12	1	126649699	39	07-20432
merge270-5	1	15168	51	chr2	1	138584791	50	07-20432
merge269-5	-1	34572	83	chr6	1	154357645	86	07-20432
merge257-4	-1	27248	311	chr7	1	64476162	311	07-20432
merge259-5	1	18036	92	chr10	1	84348364	92	07-20432
merge236-6	-1	49347	84	chr3	1	178568817	84	07-20432
merge276-5	1	24275	302	chr9	1	101778719	302	07-20432
merge283-5	-1	23936	118	chr19	1	33757487	118	07-20432
merge283-5	-1	23817	117	chr4	1	176479607	129	07-20432
merge283-5	1	14269	60	chr19	1	33618552	60	07-20432
merge283-5	1	14329	74	chr20	1	4118641	74	07-20432
merge222-6	1	57861	303	chr20	1	36327586	303	07-20432
merge264-5	1	12133	79	chr11	1	125493381	79	07-20432
merge264-5	-1	37306	102	chr3	1	961227	102	07-20432
merge289-5	1	23487	53	chr20	1	5454164	53	07-20432
merge291-3	1	20655	59	chr1	1	225078766	59	07-20432
merge272-5	1	32655	289	chr13	1	103869788	289	07-20432
merge267-5	-1	42340	318	chr3	1	116556434	318	07-20432
merge298-5	1	15670	46	chr7	1	166240	46	07-20432
merge299-4	1	17054	59	chr7	1	101914422	55	07-20432
merge278-5	1	18590	315	chr8	1	66618409	315	07-20432
merge290-5	1	47134	35	chr8	1	6486258	35	07-20432
merge280-5	1	17748	314	chr12	1	53682405	314	07-20432
merge198-6	-1	44564	342	chr8	1	128452973	340	07-20432
merge304-5	-1	33620	51	chr12	1	55667671	51	07-20432
merge295-5	1	36273	220	chr13	1	109267068	223	07-20432
merge277-5	-1	4035	310	chr13	1	51641544	310	07-20432
merge279-3	1	17729	308	chr8	1	13312080	308	07-20432
merge311-5	-1	22486	319	chr5	1	173462726	319	07-20432
merge316-5	1	24352	68	chr2	1	29802420	69	07-20432
merge285-5	-1	14403	49	chr1	1	34502754	49	07-20432
merge319-4	-1	28625	94	chr8	1	59652407	94	07-20432
merge317-4	-1	16397	59	chr22	1	25620000	59	07-20432
merge309-3	1	10229	64	chr2	1	212015053	64	07-20432
merge315-4	1	0	144	chr7	1	135866777	134	07-20432
merge315-4	-1	15853	332	chr15	1	45775784	333	07-20432
merge296-5	-1	26512	66	chr8	1	115913524	66	07-20432
merge303-5	1	27589	143	chr21	1	33321804	147	07-20432
merge303-5	1	27737	107	chr21	1	33321838	113	07-20432
merge303-5	1	27865	721	chr8	1	119498042	703	07-20432
merge303-5	-1	9745	181	chr2	1	12123143	182	07-20432
merge303-5	1	28778	314	chr8	1	119498784	319	07-20432
merge235-6	-1	45169	76	chr3	1	147568747	76	07-20432
merge302-4	-1	48064	75	chr9	1	88096272	75	07-20432
merge314-5	-1	25065	325	chr15	1	45775792	325	07-20432
merge308-5	1	21579	62	chr2	1	212015055	62	07-20432
merge323-4	1	19863	315	chr9	1	114944229	315	07-20432
merge294-5	1	27185	309	chr2	1	57115614	309	07-20432
merge327-3	-1	15836	53	chr1	1	36377404	53	07-20432
merge292-5	1	25173	188	chr19	1	38857964	188	07-20432
merge329-4	1	7703	59	chr13	1	25465658	59	07-20432
merge331-4	1	35507	306	chr7	1	95100844	306	07-20432
merge340-4	-1	5610	32	chr11	1	92964252	32	07-20432
merge325-4	1	26962	314	chr5	1	82037233	314	07-20432
merge301-5	1	45598	58	chr8	1	59682131	58	07-20432
merge343-4	-1	9681	301	chr9	1	85286496	301	07-20432
merge332-4	1	28822	56	chr2	1	117871086	56	07-20432
merge297-3	-1	20508	57	chr16	1	6487693	57	07-20432
merge339-4	1	28776	60	chr17	1	47446617	60	07-20432
merge330-4	1	9328	128	chr2	1	162752903	128	07-20432
merge337-4	1	29150	58	chr15	1	30434037	58	07-20432
merge356-4	-1	13110	306	chr11	1	82595849	306	07-20432
merge345-4	1	18610	32	chr10	1	96920411	32	07-20432
merge306-5	1	21749	92	chr4	1	86842783	92	07-20432
merge313-5	1	25842	162	chr6	1	69432543	162	07-20432
merge350-4	-1	25580	305	chr1	1	217744177	305	07-20432
merge358-4	1	31479	91	chr2	1	84893720	92	07-20432
merge358-4	-1	1955	221	chr7	1	153698571	200	07-20432
merge358-4	1	31807	76	chr21	1	40518360	75	07-20432
merge367-4	1	22748	146	chr15	1	43368417	146	07-20432
merge369-3	1	1469	298	chr9	1	103370283	298	07-20432
merge355-4	1	18105	61	chr21	1	18396792	61	07-20432
merge328-4	1	35556	148	chr17	1	12442324	147	07-20432
merge349-4	-1	32299	102	chr10	1	119794652	102	07-20432
merge371-4	-1	6740	36	chr2	1	213224641	36	07-20432
merge357-4	1	27330	60	chr11	1	105491179	60	07-20432
merge373-4	1	15698	64	chr6	1	79129500	64	07-20432
merge354-4	-1	18211	64	chr21	1	23858424	64	07-20432
merge372-4	1	27871	70	chr6	1	79129494	70	07-20432
merge318-4	1	12946	65	chr1	1	8385968	65	07-20432
merge326-4	-1	10450	60	chr6	1	35665373	60	07-20432
merge374-3	-1	12717	59	chr6	1	79129502	59	07-20432
merge366-4	1	28924	79	chr5	1	86419580	82	07-20432
merge377-4	-1	19280	136	chr2	1	159292624	136	07-20432
merge307-5	-1	33009	317	chr1	1	213038584	317	07-20432
merge352-4	1	16046	324	chr1	1	28695652	322	07-20432
merge380-3	-1	9904	306	chr17	1	6030298	306	07-20432
merge370-4	1	23672	82	chr12	1	111507106	82	07-20432
merge384-4	1	20450	321	chr16	1	19219116	321	07-20432
merge381-4	1	5556	56	chr17	1	65821514	56	07-20432
merge391-4	-1	19540	309	chr17	1	62788780	309	07-20432
merge382-4	-1	15189	261	chr17	1	4925249	261	07-20432
merge342-4	1	13138	297	chr7	1	24897318	297	07-20432
merge342-4	1	13435	338	chr10	1	95004215	338	07-20432
merge375-4	1	25293	50	chr11	1	35299333	50	07-20432
merge363-3	1	41468	332	chr4	1	36841137	332	07-20432
merge396-3	1	14795	313	chr17	1	19723540	313	07-20432
merge376-4	-1	57196	314	chr8	1	42717091	314	07-20432
merge386-4	1	8454	115	chr1	1	199850907	115	07-20432
merge353-4	-1	25441	52	chr19	1	36715486	52	07-20432
merge406-4	1	13213	51	chr20	1	29685898	51	07-20432
merge401-4	-1	42803	50	chr17	1	27728414	50	07-20432
merge398-4	1	8173	53	chr1	1	182930556	53	07-20432
merge393-4	1	27172	76	chr3	1	197127423	76	07-20432
merge409-4	-1	20615	197	chr5	1	164328373	184	07-20432
merge409-4	-1	20324	288	chr5	1	164328930	256	07-20432
merge409-4	-1	20245	79	chr5	1	164328947	79	07-20432
merge409-4	-1	20137	108	chr17	1	16127283	104	07-20432
merge409-4	-1	19556	576	chr5	1	164328298	566	07-20432
merge379-4	1	41469	310	chrX	1	11078288	310	07-20432
merge394-4	-1	26581	44	chrX	1	117005217	44	07-20432
merge403-4	1	30070	56	chr20	1	33231141	56	07-20432
merge403-4	-1	13771	127	chr13	1	100298592	125	07-20432
merge412-4	1	11997	260	chr12	1	84616035	241	07-20432
merge412-4	1	12258	103	chr12	1	84616113	97	07-20432
merge412-4	1	12367	167	chr12	1	84616096	150	07-20432
merge411-4	1	8904	58	chr21	1	27838869	58	07-20432
merge413-4	1	10624	311	chr7	1	65847313	310	07-20432
merge387-4	-1	58575	52	chr4	1	79897106	52	07-20432
merge408-4	1	16594	87	chr7	1	105733583	87	07-20432
merge410-4	1	12321	75	chr4	1	145328347	75	07-20432
merge383-4	1	37231	61	chr5	1	82466179	56	07-20432
merge416-4	1	20395	74	chr19	1	42663663	74	07-20432
merge426-4	-1	12643	41	chr6	1	24220879	41	07-20432
merge426-4	1	10454	72	chr10	1	130360526	72	07-20432
merge389-4	-1	19898	74	chr3	1	65193950	74	07-20432
merge417-4	1	21049	70	chr5	1	24758217	72	07-20432
merge402-4	-1	19887	77	chr15	1	94390051	77	07-20432
merge422-4	-1	21780	54	chr4	1	6337105	54	07-20432
merge429-4	-1	18351	77	chrX	1	1182195	77	07-20432
merge433-4	1	19138	58	chr9	1	8726569	58	07-20432
merge434-4	1	15855	307	chr1	1	69561646	307	07-20432
merge423-4	1	28755	192	chr3	1	50084590	192	07-20432
merge424-4	1	13218	87	chr5	1	94362525	87	07-20432
merge435-4	1	7988	83	chr2	1	147597969	83	07-20432
merge400-4	1	25048	318	chr13	1	107272195	318	07-20432
merge419-4	1	15228	86	chr12	1	84553968	87	07-20432
merge425-4	-1	44185	52	chrX	1	75421402	52	07-20432
merge430-4	-1	24208	305	chr12	1	62838639	305	07-20432
merge399-4	1	22128	116	chr7	1	35838249	116	07-20432
merge351-4	1	8802	102	chr5	1	116726398	103	07-20432
merge427-4	-1	16490	79	chr3	1	19908546	77	07-20432
merge427-4	1	14587	73	chr6	1	95164839	73	07-20432
merge450-3	1	16823	67	chr11	1	29314623	67	07-20432
merge428-3	-1	16808	81	chr3	1	19908542	81	07-20432
merge428-3	1	15660	73	chr6	1	95164839	73	07-20432
merge448-3	1	12539	304	chr1	1	77992129	304	07-20432
merge447-3	1	15241	96	chr3	1	140490022	96	07-20432
merge420-3	-1	12514	81	chrY	1	16780344	82	07-20432
merge440-3	1	3491	51	chr10	1	72268942	51	07-20432
merge439-3	1	9938	79	chr12	1	70666935	79	07-20432
merge456-3	-1	13391	310	chr17	1	39498896	310	07-20432
merge456-3	1	4375	129	chr3	1	11573245	129	07-20432
merge449-3	1	23626	302	chr4	1	19641501	302	07-20432
merge459-3	-1	17838	173	chr1	1	171036016	172	07-20432
merge458-3	-1	7265	36	chr8	1	32995133	36	07-20432
merge442-3	1	17969	85	chr3	1	26427279	85	07-20432
merge462-3	-1	16929	68	chr8	1	121382310	68	07-20432
merge432-4	1	18602	135	chr3	1	114247850	132	07-20432
merge461-3	1	25366	53	chr19	1	20917674	53	07-20432
merge454-3	1	7594	276	chr12	1	124101720	276	07-20432
merge454-3	-1	21994	134	chr1	1	43502122	134	07-20432
merge472-3	1	23267	34	chr1	1	223434360	34	07-20432
merge441-3	-1	20989	158	chr20	1	35975408	158	07-20432
merge443-3	1	9479	85	chr3	1	26427279	85	07-20432
merge476-3	1	18082	176	chr1	1	241674911	173	07-20432
merge476-3	1	18261	101	chr4	1	6336737	105	07-20432
merge476-3	1	18365	129	chr2	1	17946563	128	07-20432
merge476-3	1	18494	876	chr1	1	241675110	840	07-20432
merge482-3	-1	6864	51	chrY	1	26435482	51	07-20432
merge469-3	-1	23282	235	chr2	1	43063215	235	07-20432
merge486-3	1	8692	423	chr10	1	60468978	430	07-20432
merge486-3	1	9118	199	chr10	1	60469209	197	07-20432
merge486-3	1	9317	170	chr10	1	60469226	170	07-20432
merge486-3	1	9489	118	chr10	1	60469293	115	07-20432
merge486-3	1	9621	63	chr10	1	60469341	63	07-20432
merge486-3	1	9684	252	chr10	1	60469170	238	07-20432
merge486-3	-1	20790	68	chrX	1	118424281	62	07-20432
merge486-3	-1	20745	34	chrX	1	147298560	33	07-20432
merge486-3	1	10071	286	chr3	1	144799343	264	07-20432
merge479-3	-1	16343	150	chr4	1	167109054	151	07-20432
merge479-3	-1	16298	43	chr8	1	18594190	44	07-20432
merge479-3	1	25526	37	chr4	1	70622917	37	07-20432
merge438-4	1	38970	270	chr9	1	119065423	270	07-20432
merge470-3	1	40388	262	chr1	1	206063961	262	07-20432
merge480-3	1	21622	79	chr5	1	151893287	79	07-20432
merge484-3	1	24794	68	chr11	1	72297633	68	07-20432
merge481-3	-1	31745	157	chr3	1	114247855	156	07-20432
merge453-3	1	11521	321	chr7	1	113776118	321	07-20432
merge455-3	1	37763	171	chr11	1	66588320	171	07-20432
merge455-3	-1	15567	272	chr12	1	124101720	272	07-20432
merge446-3	-1	28874	136	chr16	1	70051378	135	07-20432
merge494-3	1	61227	51	chr6	1	21778638	51	07-20432
merge495-3	-1	23552	76	chr3	1	39720164	76	07-20432
merge499-3	1	22566	139	chr7	1	145020109	139	07-20432
merge492-3	-1	22395	31	chr13	1	36378767	31	07-20432
merge485-3	1	46716	74	chr14	1	36451018	74	07-20432
merge464-3	-1	24904	299	chrX	1	22654466	299	07-20432
merge488-3	-1	18390	307	chr2	1	202916929	307	07-20432
merge500-3	1	17988	133	chr5	1	110885365	133	07-20432
merge505-3	-1	5497	264	chr11	1	86975367	264	07-20432
merge478-3	-1	35150	116	chr9	1	22290342	116	07-20432
merge510-3	1	7672	318	chr5	1	167105605	318	07-20432
merge437-4	1	39917	77	chrX	1	102559233	76	07-20432
merge437-4	1	39994	98	chrX	1	102559309	98	07-20432
merge437-4	1	40092	122	chrX	1	102559376	122	07-20432
merge437-4	1	40214	238	chrX	1	102559498	239	07-20432
merge437-4	1	40452	377	chrX	1	102559551	366	07-20432
merge437-4	1	40829	55	chr4	1	85487708	61	07-20432
merge436-4	1	50685	98	chr7	1	77686371	98	07-20432
merge513-3	1	15236	269	chr11	1	119848818	269	07-20432
merge515-3	-1	12804	82	chr3	1	8796557	82	07-20432
merge520-3	-1	5403	80	chr19	1	46389386	80	07-20432
merge512-3	-1	16846	95	chr12	1	93341958	95	07-20432
merge512-3	1	28820	46	chr3	1	49984615	46	07-20432
merge512-3	1	28866	53	chr3	1	49984611	53	07-20432
merge473-3	1	10629	301	chr1	1	206359805	301	07-20432
merge483-3	-1	12125	60	chr14	1	33854229	60	07-20432
merge524-3	-1	18185	438	chr3	1	150221927	432	07-20432
merge524-3	-1	18021	120	chr3	1	150221810	125	07-20432
merge524-3	-1	17886	135	chr3	1	150221824	140	07-20432
merge524-3	-1	17775	107	chr3	1	150221945	125	07-20432
merge524-3	-1	17555	192	chr3	1	150221819	184	07-20432
merge524-3	1	1144	52	chr5	1	57105347	48	07-20432
merge524-3	-1	17390	35	chr3	1	150221968	35	07-20432
merge524-3	-1	17294	72	chr3	1	150221860	74	07-20432
merge491-3	1	18208	69	chr16	1	69912929	69	07-20432
merge507-3	-1	32321	316	chr10	1	68521583	313	07-20432
merge511-3	-1	44525	68	chr2	1	182527301	68	07-20432
merge533-3	-1	16918	317	chr20	1	47390325	317	07-20432
merge526-3	-1	13458	37	chr7	1	69380279	37	07-20432
merge501-3	-1	13313	687	chr2	1	158428624	683	07-20432
merge501-3	1	687	301	chr10	1	54757279	301	07-20432
merge531-3	-1	18383	72	chr16	1	28929873	73	07-20432
merge541-3	-1	15057	82	chr3	1	179760289	81	07-20432
merge538-3	-1	5717	204	chr13	1	73208758	195	07-20432
merge538-3	-1	0	446	chr2	1	194697660	435	07-20432
merge529-3	-1	14769	82	chr11	1	67168580	82	07-20432
merge540-3	-1	24863	317	chr5	1	147477563	317	07-20432
merge521-3	-1	20474	116	chr5	1	105771783	116	07-20432
merge521-3	-1	20382	91	chr5	1	40168075	91	07-20432
merge517-3	-1	8242	320	chr10	1	102885509	320	07-20432
merge516-3	-1	16444	309	chr8	1	112213653	309	07-20432
merge489-3	1	45897	146	chr10	1	84794019	154	07-20432
merge489-3	1	46043	188	chr10	1	84794017	188	07-20432
merge489-3	1	46231	189	chr10	1	84794013	189	07-20432
merge543-3	1	9005	53	chr15	1	87912921	53	07-20432
merge543-3	-1	2	490	chr13	1	87098099	470	07-20432
merge548-3	-1	25375	740	chr14	1	33308537	704	07-20432
merge548-3	-1	25311	64	chr2	1	153082570	64	07-20432
merge548-3	-1	17860	64	chrY	1	19185087	64	07-20432
merge497-3	1	15346	49	chr4	1	136972113	49	07-20432
merge523-3	-1	73076	91	chr16	1	7504726	91	07-20432
merge547-3	-1	7924	43	chr8	1	23590330	43	07-20432
merge552-3	-1	3343	311	chr7	1	81172396	311	07-20432
merge557-3	1	9025	313	chr7	1	86322115	313	07-20432
merge561-3	-1	9467	310	chr4	1	52609913	310	07-20432
merge549-3	1	23301	55	chr15	1	26101235	55	07-20432
merge519-3	-1	39377	299	chr12	1	54066971	299	07-20432
merge553-3	1	11081	84	chr14	1	54678431	84	07-20432
merge457-3	1	15552	147	chr9	1	17554189	153	07-20432
merge550-3	1	23846	53	chr11	1	77032641	53	07-20432
merge555-3	-1	3553	59	chr22	1	32148224	59	07-20432
merge525-3	-1	9298	310	chr4	1	124239018	310	07-20432
merge565-3	-1	5075	103	chr14	1	104235461	103	07-20432
merge542-3	1	14734	319	chr7	1	155366667	321	07-20432
merge562-3	-1	14837	98	chr6	1	25206487	107	07-20432
merge569-3	1	3331	56	chr15	1	49092543	56	07-20432
merge551-3	1	20150	64	chr2	1	32019820	64	07-20432
merge551-3	1	20216	45	chr7	1	136401351	45	07-20432
merge551-3	1	20261	63	chrX	1	142922524	63	07-20432
merge556-3	-1	11459	123	chr14	1	65692373	123	07-20432
merge535-3	1	12487	135	chr3	1	54763748	139	07-20432
merge567-3	-1	6450	141	chr16	1	4181217	132	07-20432
merge465-3	-1	50311	80	chr3	1	172031071	80	07-20432
merge558-3	1	13194	104	chr2	1	216228047	104	07-20432
merge559-3	-1	22121	28	chr8	1	26988645	28	07-20432
merge559-3	1	33929	271	chr7	1	67234304	257	07-20432
merge566-3	1	25079	298	chr13	1	63082059	298	07-20432
merge578-3	1	11072	72	chr14	1	80729059	72	07-20432
merge563-3	1	20339	204	chr8	1	25596418	204	07-20432
merge571-3	1	21172	74	chr22	1	17715119	74	07-20432
merge568-3	1	12605	103	chr15	1	31195636	109	07-20432
merge590-3	-1	29114	321	chr3	1	161528940	323	07-20432
merge591-3	1	16632	309	chr5	1	113545728	311	07-20432
merge560-3	-1	11095	117	chr15	1	72396938	116	07-20432
merge570-3	1	39118	309	chr10	1	69238364	310	07-20432
merge572-3	1	10848	297	chr9	1	22999501	297	07-20432
merge576-3	1	22651	78	chrX	1	112943973	78	07-20432
merge596-3	-1	16510	31	chr2	1	7908451	31	07-20432
merge593-3	1	7418	300	chr9	1	84888986	300	07-20432
merge554-3	-1	23383	60	chr19	1	47849631	60	07-20432
merge579-3	-1	11739	133	chr16	1	59562875	133	07-20432
merge536-3	-1	19237	125	chr3	1	54763748	127	07-20432
merge600-3	-1	23944	69	chr6	1	7211313	69	07-20432
merge564-3	-1	32252	53	chr1	1	34323871	53	07-20432
merge564-3	1	60284	324	chr14	1	103109250	322	07-20432
merge564-3	1	60609	244	chr14	1	103109647	237	07-20432
merge603-3	-1	4467	103	chr11	1	86110820	104	07-20432
merge598-3	1	10104	311	chr4	1	145397680	311	07-20432
merge587-3	1	11880	67	chr12	1	114873019	67	07-20432
merge605-3	1	19514	308	chr1	1	110026027	308	07-20432
merge586-3	1	22211	71	chr5	1	118772315	71	07-20432
merge585-3	1	21693	78	chrX	1	45922256	78	07-20432
merge608-3	-1	19270	312	chr2	1	66150724	311	07-20432
merge573-3	-1	54487	51	chr17	1	44368105	51	07-20432
merge616-3	1	20292	90	chr8	1	23634413	90	07-20432
merge628-3	-1	10167	308	chr2	1	133116205	308	07-20432
merge625-3	-1	30735	328	chrX	1	85254323	328	07-20432
merge604-3	1	19051	59	chr8	1	97347248	59	07-20432
merge602-3	1	29667	309	chr2	1	25634252	310	07-20432
merge602-3	1	29976	339	chr2	1	25705958	339	07-20432
